episode_type,episode_index,disturber_index,step_index,action,reward,penalty,total_discounted_reward
warmup,1,2,0,0,-564717.9934306145,-569799.9934306145,-564717.9934306145
warmup,1,2,1,6,0.0069866180419921875,0.0069866180419921875,-564717.98784132
warmup,1,2,2,2,0.010883092880249023,0.010883092880249023,-564717.9808761405
warmup,1,2,3,2,0.008330583572387695,0.008330583572387695,-564717.9766108817
warmup,1,2,4,8,0.005865573883056641,0.005865573883056641,-564717.9742083427
warmup,1,2,5,5,0.00884556770324707,0.00884556770324707,-564717.9713098271
warmup,1,2,6,4,0.0073854923248291016,0.0073854923248291016,-564717.9693737646
warmup,1,2,7,1,2047.0077884197235,0.007788419723510742,-564288.6807260145
warmup,1,2,8,4,0.007561206817626953,0.007561206817626953,-564288.6794574546
warmup,1,2,9,2,0.006240129470825195,0.006240129470825195,-564288.6786199186
warmup,1,2,10,8,0.0060617923736572266,0.0060617923736572266,-564288.6779690386
warmup,1,2,11,3,0.005916595458984375,0.005916595458984375,-564288.6774608069
warmup,1,2,12,4,0.008179187774658203,0.008179187774658203,-564288.6768987374
warmup,1,2,13,3,0.00783848762512207,0.00783848762512207,-564288.676467812
warmup,1,2,14,6,0.008421182632446289,0.008421182632446289,-564288.6760974445
warmup,1,2,15,3,0.009799003601074219,0.009799003601074219,-564288.6757526727
warmup,1,2,16,3,0.007323741912841797,0.007323741912841797,-564288.6755465277
warmup,1,2,17,2,0.00480961799621582,0.00480961799621582,-564288.6754382248
warmup,1,2,18,6,0.009534597396850586,0.009534597396850586,-564288.6752664648
warmup,1,2,19,1,0.008544206619262695,0.008544206619262695,-564288.6751433298
warmup,2,0,0,6,1873.0042796134949,0.004279613494873047,1873.0042796134949
warmup,2,0,1,0,-277520.98237633705,-280699.98237633705,-220143.78162145615
warmup,2,0,2,5,0.008717775344848633,0.008717775344848633,-220143.77604207993
warmup,2,0,3,1,2438.008607149124,-99.99139285087585,-218895.51563521958
warmup,2,0,4,0,0.006381988525390625,0.006381988525390625,-218895.51302115706
warmup,2,0,5,6,0.008112668991088867,0.008112668991088867,-218895.51036279768
warmup,2,0,6,8,0.0055010318756103516,0.0055010318756103516,-218895.50892073518
warmup,2,0,7,6,0.007559299468994141,0.007559299468994141,-218895.5073354352
warmup,2,0,8,6,0.009217977523803711,0.009217977523803711,-218895.50578891518
warmup,2,0,9,8,0.0050811767578125,0.0050811767578125,-218895.50510693117
warmup,2,0,10,8,0.006185770034790039,0.006185770034790039,-218895.50444273918
warmup,2,0,11,0,0.006253480911254883,0.006253480911254883,-218895.50390556926
warmup,2,0,12,3,0.005964040756225586,0.005964040756225586,-218895.5034957235
warmup,2,0,13,8,0.006384611129760742,0.006384611129760742,-218895.5031447258
warmup,2,0,14,5,0.007131099700927734,0.007131099700927734,-218895.50283109673
warmup,2,0,15,5,0.019400596618652344,0.019400596618652344,-218895.50214849893
warmup,2,0,16,5,0.007807493209838867,0.007807493209838867,-218895.50192873753
warmup,2,0,17,0,0.008066415786743164,0.008066415786743164,-218895.501747098
warmup,2,0,18,3,0.010874748229980469,0.010874748229980469,-218895.50155119595
warmup,2,0,19,4,0.007757425308227539,0.007757425308227539,-218895.50143939967
warmup,3,3,0,8,0.010633468627929688,0.010633468627929688,0.010633468627929688
warmup,3,3,1,0,-7129.994591474533,-7199.994591474533,-5703.9850397109985
warmup,3,3,2,8,0.005881309509277344,0.005881309509277344,-5703.9812756729125
warmup,3,3,3,3,0.009742975234985352,0.009742975234985352,-5703.976287269592
warmup,3,3,4,2,7846.01071190834,0.010711908340454102,-2490.250299671935
warmup,3,3,5,3,0.0076334476470947266,0.0076334476470947266,-2490.24779834381
warmup,3,3,6,6,0.011695623397827148,0.011695623397827148,-2490.2447324063096
warmup,3,3,7,5,0.010678529739379883,0.010678529739379883,-2490.2424929563094
warmup,3,3,8,8,0.006644725799560547,0.006644725799560547,-2490.2413781563096
warmup,3,3,9,7,0.0068798065185546875,0.0068798065185546875,-2490.2404547643096
warmup,3,3,10,5,0.008646249771118164,0.008646249771118164,-2490.2395263803096
warmup,3,3,11,8,0.005987405776977539,0.005987405776977539,-2490.23901206607
