episode_type,episode_index,disturber_index,step_index,action,reward,penalty,total_discounted_reward
warmup,1,1,0,2,5082.003496170044,0.0034961700439453125,5082.003496170044
warmup,1,1,1,8,0.0034046173095703125,0.0034046173095703125,5082.006219863892
warmup,1,1,2,7,0.003244638442993164,0.003244638442993164,5082.008296432495
warmup,1,1,3,1,3473.004382133484,-99.99561786651611,6860.186540084839
warmup,1,1,4,3,0.003454446792602539,0.003454446792602539,6860.187955026246
warmup,1,1,5,0,-9350.995568037033,-9999.995568037033,3796.05372729187
warmup,1,1,6,7,0.0040781497955322266,0.0040781497955322266,3796.05479635437
warmup,1,1,7,6,0.003818035125732422,0.003818035125732422,3796.05559705437
warmup,1,1,8,8,0.002856731414794922,0.002856731414794922,3796.05607633437
warmup,1,1,9,6,0.0038802623748779297,0.0038802623748779297,3796.05659713437
warmup,1,1,10,6,0.003696918487548828,0.003696918487548828,3796.05699408797
warmup,1,1,11,8,0.003476858139038086,0.003476858139038086,3796.05729274781
warmup,1,1,12,1,0.0038390159606933594,0.0038390159606933594,3796.0575565629783
warmup,1,1,13,8,0.003144979476928711,0.003144979476928711,3796.0577294600535
warmup,1,1,14,6,0.0051610469818115234,0.0051610469818115234,3796.0579564453
warmup,1,1,15,4,0.0044367313385009766,0.0044367313385009766,3796.058112548906
warmup,1,1,16,5,0.005810737609863281,0.005810737609863281,3796.0582761066294
warmup,1,1,17,7,0.0032241344451904297,0.0032241344451904297,3796.058348707683
warmup,1,1,18,6,0.004941463470458984,0.004941463470458984,3796.058437725175
warmup,1,1,19,6,0.003836393356323242,0.003836393356323242,3796.05849301343
warmup,2,10,0,4,1297.0030343532562,0.003034353256225586,1297.0030343532562
warmup,2,10,1,0,-852496.9928443432,-861199.9928443432,-680700.5912411213
warmup,3,13,0,2,10000.003239631653,0.0032396316528320312,10000.003239631653
warmup,4,4,0,2,3258.002292394638,0.0022923946380615234,3258.002292394638
warmup,4,4,1,8,0.003969669342041016,0.003969669342041016,3258.0054681301117
warmup,4,4,2,7,0.0036246776580810547,0.0036246776580810547,3258.007787923813
warmup,4,4,3,0,-396542.99591326714,-400199.99591326714,-199772.006119669
warmup,4,4,4,1,34.00409388542175,0.00409388542175293,-199758.07804281355
warmup,4,4,5,1,0.0036704540252685547,0.0036704540252685547,-199758.0768400792
warmup,4,4,6,2,0.004470348358154297,0.004470348358154297,-199758.0756682042
warmup,4,4,7,1,0.004164934158325195,0.004164934158325195,-199758.0747947542
warmup,4,4,8,2,0.0038297176361083984,0.0038297176361083984,-199758.0741522342
warmup,4,4,9,2,0.003972530364990234,0.003972530364990234,-199758.0736190502
warmup,4,4,10,6,0.004265785217285156,0.004265785217285156,-199758.073161015
warmup,4,4,11,2,0.00391840934753418,0.00391840934753418,-199758.0728244262
warmup,4,4,12,3,0.0047664642333984375,0.0047664642333984375,-199758.07249687728
warmup,4,4,13,2,0.00419926643371582,0.00419926643371582,-199758.07226602017
warmup,4,4,14,7,0.003323793411254883,0.003323793411254883,-199758.07211983818
warmup,4,4,15,0,0.002977132797241211,0.002977132797241211,-199758.07201508962
warmup,4,4,16,1,0.004183053970336914,0.004183053970336914,-199758.0718973471
warmup,4,4,17,7,0.0033864974975585938,0.0033864974975585938,-199758.07182108995
warmup,4,4,18,5,0.004996299743652344,0.004996299743652344,-199758.0717310846
warmup,4,4,19,3,0.0051059722900390625,0.0051059722900390625,-199758.0716574998
warmup,5,6,0,1,8440.003227472305,0.0032274723052978516,8440.003227472305
warmup,5,6,1,4,0.0052182674407958984,0.0052182674407958984,8440.007402086258
warmup,5,6,2,2,17.004061937332153,0.00406193733215332,8450.89000172615
warmup,5,6,3,8,0.0028061866760253906,0.0028061866760253906,8450.891438493727
warmup,5,6,4,5,0.0047833919525146484,0.0047833919525146484,8450.893397771071
warmup,5,6,5,1,0.005170583724975586,0.005170583724975586,8450.895092067945
warmup,5,6,6,7,0.003858804702758789,0.003858804702758789,8450.896103630444
warmup,5,6,7,0,-22311.995837450027,-23599.995837450027,3771.731434180443
warmup,5,6,8,8,80.69299745559692,0.6929974555969238,3785.269472660443
warmup,5,6,9,4,0.0036170482635498047,0.0036170482635498047,3785.269958132443
warmup,5,6,10,2,0.003329038619995117,0.003329038619995117,3785.270315585243
warmup,5,6,11,4,0.005452871322631836,0.005452871322631836,3785.2707839833233
warmup,5,6,12,8,73.40506911277771,0.40506911277770996,3790.3151419225233
warmup,5,6,13,3,0.0032002925872802734,0.0032002925872802734,3790.315317860469
warmup,5,6,14,7,0.17542386054992676,0.17542386054992676,3790.3230330834476
warmup,5,6,15,7,0.20016884803771973,0.20016884803771973,3790.3300758986775
warmup,5,6,16,5,0.0034279823303222656,0.0034279823303222656,3790.330172387802
warmup,5,6,17,3,0.0037412643432617188,0.0037412643432617188,3790.3302566335856
