episode_type,episode_index,disturber_index,step_index,action,reward,penalty,total_discounted_reward
warmup,1,9,0,7,0.0006196498870849609,0.0006196498870849609,0.0006196498870849609
warmup,1,9,1,3,10000.005960226059,0.005960226058959961,8000.005387830734
warmup,2,14,0,7,0.00041174888610839844,0.00041174888610839844,0.00041174888610839844
warmup,2,14,1,6,1365.0054442882538,0.00544428825378418,1092.0047671794891
warmup,2,14,2,8,0.0024805068969726562,0.0024805068969726562,1092.0063547039033
warmup,2,14,3,5,0.005584716796875,0.005584716796875,1092.0092140789034
warmup,2,14,4,2,8635.004997730255,0.004997730255126953,4628.9072611492165
warmup,3,4,0,6,40.00209021568298,0.0020902156829833984,40.00209021568298
warmup,3,4,1,6,0.003626585006713867,0.003626585006713867,40.00499148368836
warmup,3,4,2,2,3161.0039875507355,0.003987550735473633,2063.0475435161593
warmup,3,4,3,1,82.00385308265686,-99.99614691734314,2105.03351629448
warmup,3,4,4,7,0.0024542808532714844,0.0024542808532714844,2105.034521567917
warmup,3,4,5,8,0.002405881881713867,0.002405881881713867,2105.035309927292
warmup,3,4,6,2,0.0037088394165039062,0.0037088394165039062,2105.036282177292
warmup,3,4,7,2,0.003504514694213867,0.003504514694213867,2105.037017127292
warmup,3,4,8,1,0.0035974979400634766,0.0035974979400634766,2105.037620687292
warmup,3,4,9,7,0.002294301986694336,0.002294301986694336,2105.037928623292
warmup,3,4,10,4,0.003489255905151367,0.003489255905151367,2105.038303279292
warmup,3,4,11,2,0.003622293472290039,0.003622293472290039,2105.038614431932
warmup,3,4,12,7,0.002475738525390625,0.002475738525390625,2105.0387845633877
warmup,3,4,13,7,0.0025954246520996094,0.0025954246520996094,2105.0389272483667
warmup,3,4,14,8,0.002398967742919922,0.002398967742919922,2105.039032756084
warmup,3,4,15,0,-372471.99555921555,-376099.99555921555,-11000.154251669148
warmup,3,4,16,4,0.0028824806213378906,0.0028824806213378906,-11000.154170534532
warmup,3,4,17,1,0.002936840057373047,0.002936840057373047,-11000.154104402773
warmup,3,4,18,2,0.0030341148376464844,0.0030341148376464844,-11000.154049745019
warmup,3,4,19,4,0.002942323684692383,0.002942323684692383,-11000.154007341665
warmup,4,7,0,4,1072.0023057460785,0.002305746078491211,1072.0023057460785
warmup,4,7,1,1,629.00368475914,-99.99631524085999,1575.2052535533905
warmup,4,7,2,8,0.002262115478515625,0.002262115478515625,1575.2067013072967
warmup,4,7,3,6,0.0036840438842773438,0.0036840438842773438,1575.2085875377654
warmup,4,7,4,4,0.0033178329467773438,0.0033178329467773438,1575.2099465221404
warmup,4,7,5,7,0.0026166439056396484,0.0026166439056396484,1575.2108039440154
warmup,4,7,6,8,0.002564668655395508,0.002564668655395508,1575.2114762565154
warmup,4,7,7,3,0.0034360885620117188,0.0034360885620117188,1575.2121968565154
warmup,4,7,8,8,0.0021467208862304688,0.0021467208862304688,1575.2125570165153
warmup,4,7,9,4,0.0032558441162109375,0.0032558441162109375,1575.2129940085154
warmup,4,7,10,3,0.0031464099884033203,0.0031464099884033203,1575.2133318517153
warmup,4,7,11,7,0.0030999183654785156,0.0030999183654785156,1575.2135981326753
warmup,4,7,12,6,0.0035037994384765625,0.0035037994384765625,1575.2138389119393
warmup,4,7,13,8,0.002009868621826172,0.002009868621826172,1575.2139494056353
warmup,4,7,14,7,0.002139568328857422,0.002139568328857422,1575.2140435048454
warmup,4,7,15,3,0.0030698776245117188,0.0030698776245117188,1575.214151516562
warmup,4,7,16,3,0.003388643264770508,0.003388643264770508,1575.2142468983905
warmup,4,7,17,6,0.0037741661071777344,0.0037741661071777344,1575.2143318850558
warmup,4,7,18,7,0.0023736953735351562,0.0023736953735351562,1575.2143746457502
warmup,4,7,19,1,0.0027379989624023438,0.0027379989624023438,1575.2144141044737
warmup,5,2,0,0,-572127.9978191853,-577199.9978191853,-572127.9978191853
warmup,5,2,1,7,0.0026581287384033203,0.0026581287384033203,-572127.9956926822
warmup,5,2,2,6,0.0032761096954345703,0.0032761096954345703,-572127.993595972
warmup,5,2,3,2,1.0029401779174805,0.0029401779174804688,-572127.4800906009
warmup,5,2,4,8,0.0023550987243652344,0.0023550987243652344,-572127.4791259525
warmup,5,2,5,7,0.0034503936767578125,0.0034503936767578125,-572127.4779953274
warmup,5,2,6,1,2104.003553390503,0.0035533905029296875,-571575.9260878274
warmup,5,2,7,5,0.0031938552856445312,0.0031938552856445312,-571575.9254180274
warmup,5,2,8,5,0.0038695335388183594,0.0038695335388183594,-571575.9247688274
warmup,5,2,9,4,0.0035436153411865234,0.0035436153411865234,-571575.9242932114
warmup,5,2,10,6,0.002829313278198242,0.002829313278198242,-571575.9239894162
warmup,5,2,11,7,0.0027348995208740234,0.0027348995208740234,-571575.9237544901
warmup,5,2,12,7,0.0028438568115234375,0.0028438568115234375,-571575.9235590617
warmup,5,2,13,0,0.002738475799560547,0.002738475799560547,-571575.9234085124
warmup,5,2,14,5,0.0031468868255615234,0.0031468868255615234,-571575.9232701109
warmup,5,2,15,5,0.0028929710388183594,0.0028929710388183594,-571575.9231683235
warmup,5,2,16,6,0.003453969955444336,0.003453969955444336,-571575.9230711028
warmup,5,2,17,3,0.003016233444213867,0.003016233444213867,-571575.9230031833
warmup,5,2,18,4,0.002817869186401367,0.002817869186401367,-571575.9229524211
warmup,5,2,19,5,0.0025110244750976562,0.0025110244750976562,-571575.9229162334
warmup,6,8,0,5,500.00211334228516,0.00211334228515625,500.00211334228516
warmup,6,8,1,1,7281.00408911705,0.0040891170501708984,6324.805384635925
warmup,6,8,2,4,0.003200531005859375,0.003200531005859375,6324.807432975769
warmup,6,8,3,1,0.00304412841796875,0.00304412841796875,6324.808991569519
warmup,6,8,4,6,0.0028967857360839844,0.0028967857360839844,6324.810178092956
warmup,6,8,5,7,0.0023822784423828125,0.0023822784423828125,6324.810958717956
warmup,6,8,6,3,0.003216266632080078,0.003216266632080078,6324.811801842956
warmup,6,8,7,3,0.0026712417602539062,0.0026712417602539062,6324.812362042956
warmup,6,8,8,4,0.002886056900024414,0.002886056900024414,6324.812846242956
warmup,6,8,9,8,0.0020782947540283203,0.0020782947540283203,6324.813125186955
warmup,6,8,10,3,0.002649545669555664,0.002649545669555664,6324.813409679756
warmup,6,8,11,1,0.0031261444091796875,0.0031261444091796875,6324.813678213516
warmup,6,8,12,5,0.003479480743408203,0.003479480743408203,6324.813917321612
warmup,6,8,13,6,0.003106355667114258,0.003106355667114258,6324.8140880953215
warmup,6,8,14,3,0.0028989315032958984,0.0028989315032958984,6324.814215591678
warmup,6,8,15,2,913.003270149231,0.0032701492309570312,6356.937662366929
warmup,6,8,16,6,0.0025908946990966797,0.0025908946990966797,6356.937735294131
warmup,6,8,17,8,0.002136707305908203,0.002136707305908203,6356.937783408503
warmup,6,8,18,3,0.0028302669525146484,0.0028302669525146484,6356.93783439406
warmup,6,8,19,1,0.002282857894897461,0.002282857894897461,6356.937867293509
warmup,7,11,0,3,1195.0019917488098,0.001991748809814453,1195.0019917488098
warmup,7,11,1,2,8805.003895998001,0.003895998001098633,8239.005108547211
warmup,8,12,0,0,-1112599.996531248,-1122599.996531248,-1112599.996531248
warmup,9,8,0,0,-123776.9979672432,-124899.9979672432,-123776.9979672432
warmup,9,8,1,1,6027.004526853561,0.004526853561401367,-118955.39434576035
warmup,9,8,2,5,0.003422975540161133,0.003422975540161133,-118955.392155056
warmup,9,8,3,6,0.0025556087493896484,0.0025556087493896484,-118955.39084658433
warmup,9,8,4,6,0.003052949905395508,0.003052949905395508,-118955.38959609605
warmup,9,8,5,4,0.003176450729370117,0.003176450729370117,-118955.38855523667
warmup,9,8,6,1,0.003528594970703125,0.003528594970703125,-118955.38763023667
warmup,9,8,7,8,0.0022704601287841797,0.0022704601287841797,-118955.38715408667
warmup,9,8,8,6,0.0026578903198242188,0.0026578903198242188,-118955.38670816667
warmup,9,8,9,3,0.0028252601623535156,0.0028252601623535156,-118955.38632896666
warmup,9,8,10,0,0.002974987030029297,0.002974987030029297,-118955.38600952986
warmup,9,8,11,0,0.002397298812866211,0.002397298812866211,-118955.38580360347
warmup,9,8,12,6,0.003319978713989258,0.003319978713989258,-118955.38557545627
warmup,9,8,13,8,0.002724885940551758,0.002724885940551758,-118955.38542565408
warmup,9,8,14,7,0.0020923614501953125,0.0020923614501953125,-118955.38533363106
warmup,9,8,15,7,0.0025272369384765625,0.0025272369384765625,-118955.38524471181
warmup,9,8,16,4,0.002590179443359375,0.002590179443359375,-118955.38517180474
warmup,9,8,17,8,0.0026123523712158203,0.0026123523712158203,-118955.3851129798
warmup,9,8,18,4,0.0032320022583007812,0.0032320022583007812,-118955.38505475722
warmup,9,8,19,7,0.0022966861724853516,0.0022966861724853516,-118955.38502165848
warmup,10,14,0,4,10000.003763437271,0.003763437271118164,10000.003763437271
warmup,11,6,0,4,95.00190877914429,0.0019087791442871094,95.00190877914429
warmup,11,6,1,0,-895350.9931561947,-903499.9931561947,-716185.7926161767
warmup,11,6,2,3,0.0032176971435546875,0.0032176971435546875,-716185.7905568505
warmup,11,6,3,0,0.0038018226623535156,0.0038018226623535156,-716185.7886103173
warmup,11,6,4,4,0.0026445388793945312,0.0026445388793945312,-716185.7875271142
warmup,11,6,5,7,0.002706766128540039,0.002706766128540039,-716185.7866401611
warmup,11,6,6,1,564.0027067661285,0.002706766128540039,-716037.9367145986
warmup,11,6,7,8,0.0029180049896240234,0.0029180049896240234,-716037.9361026486
warmup,11,6,8,6,0.0024700164794921875,0.0024700164794921875,-716037.9356882486
warmup,11,6,9,8,0.0033576488494873047,0.0033576488494873047,-716037.9352375926
warmup,11,6,10,3,0.0049784183502197266,0.0049784183502197266,-716037.934703039
warmup,11,6,11,7,0.003766298294067383,0.003766298294067383,-716037.9343795164
warmup,11,6,12,6,0.003927707672119141,0.003927707672119141,-716037.9341096064
warmup,11,6,13,5,0.0034613609313964844,0.0034613609313964844,-716037.9339193162
warmup,11,6,14,3,0.0037474632263183594,0.0037474632263183594,-716037.9337545009
warmup,11,6,15,4,0.00421595573425293,0.00421595573425293,-716037.9336061652
warmup,11,6,16,4,0.00413966178894043,0.00413966178894043,-716037.9334896441
warmup,11,6,17,7,0.0026514530181884766,0.0026514530181884766,-716037.9334299386
warmup,11,6,18,2,0.004785776138305664,0.004785776138305664,-716037.9333437257
warmup,11,6,19,7,0.0034558773040771484,0.0034558773040771484,-716037.9332939213
warmup,12,8,0,2,4512.002558231354,0.0025582313537597656,4512.002558231354
warmup,12,8,1,2,0.0050084590911865234,0.0050084590911865234,4512.006564998626
warmup,12,8,2,3,478.00502586364746,0.0050258636474609375,4817.929781551361
warmup,12,8,3,6,0.004845857620239258,0.004845857620239258,4817.932262630463
warmup,12,8,4,4,0.0038123130798339844,0.0038123130798339844,4817.933824153901
warmup,12,8,5,1,3725.005048751831,0.0050487518310546875,6038.543478528901
warmup,12,8,6,2,0.0037145614624023438,0.0037145614624023438,6038.544452278901
warmup,12,8,7,7,0.0031180381774902344,0.0031180381774902344,6038.545106178901
warmup,12,8,8,6,0.0037779808044433594,0.0037779808044433594,6038.545740018901
warmup,12,8,9,0,-1163.992359161377,-1299.992359161377,5882.3173301629
warmup,12,8,10,3,0.0036890506744384766,0.0036890506744384766,5882.3177262717
warmup,12,8,11,0,0.003909587860107422,0.003909587860107422,5882.3180621027395
warmup,12,8,12,1,0.00379180908203125,0.00379180908203125,5882.318322673876
warmup,12,8,13,0,0.00919485092163086,0.00919485092163086,5882.3188281661505
warmup,12,8,14,1,0.0035898685455322266,0.0035898685455322266,5882.318986050239
warmup,12,8,15,4,0.003024578094482422,0.003024578094482422,5882.31909246812
warmup,12,8,16,6,0.003354310989379883,0.003354310989379883,5882.319186883581
warmup,12,8,17,4,0.007332324981689453,0.007332324981689453,5882.319351992862
warmup,12,8,18,3,0.004218578338623047,0.004218578338623047,5882.319427988014
warmup,12,8,19,8,0.003068685531616211,0.003068685531616211,5882.319472212433
warmup,13,5,0,0,-451133.99653196335,-455199.99653196335,-451133.99653196335
warmup,13,5,1,2,2603.0041432380676,0.004143238067626953,-449051.5932173729
warmup,13,5,2,3,0.0035858154296875,0.0035858154296875,-449051.590922451
warmup,13,5,3,4,0.0037610530853271484,0.0037610530853271484,-449051.5889967918
warmup,13,5,4,4,0.0036623477935791016,0.0036623477935791016,-449051.5874966942
warmup,13,5,5,6,0.004014253616333008,0.004014253616333008,-449051.58618130354
warmup,13,5,6,4,0.004660129547119141,0.004660129547119141,-449051.5849596785
warmup,13,5,7,4,0.004583120346069336,0.004583120346069336,-449051.58399852854
warmup,13,5,8,4,0.00675511360168457,0.00675511360168457,-449051.58286520856
warmup,13,5,9,7,0.003484010696411133,0.003484010696411133,-449051.58239759255
warmup,13,5,10,5,0.0038251876831054688,0.0038251876831054688,-449051.58198686613
warmup,13,5,11,3,0.003874063491821289,0.003874063491821289,-449051.5816540866
warmup,13,5,12,0,0.004164218902587891,0.004164218902587891,-449051.58136792365
warmup,13,5,13,1,0.0038118362426757812,0.0038118362426757812,-449051.5811583657
warmup,13,5,14,1,0.004928112030029297,0.004928112030029297,-449051.58094162506
warmup,13,5,15,6,0.004427909851074219,0.004427909851074219,-449051.58078583184
warmup,13,5,16,6,0.004773616790771484,0.004773616790771484,-449051.5806514665
warmup,13,5,17,0,0.004224061965942383,0.004224061965942383,-449051.5805563491
warmup,13,5,18,5,0.0036177635192871094,0.0036177635192871094,-449051.5804911772
warmup,13,5,19,1,0.0043375492095947266,0.0043375492095947266,-449051.58042866655
